Time		Tb_f1		Tb_f2		Q		W
252275.824219 17.595714359 46.0488464319 2.05120134288 0.00229595097284
252290.652343 17.4866031219 45.9326753743 2.05366794666 0.000942921915881
252305.488282 17.352234654 45.9278349136 2.07009668477 -0.00157122548079
252320.3125 17.4613458911 45.8869599118 2.05241488318 0.000745388286539
252335.134765 17.5027677496 45.8078990531 2.03954525693 0.00201516892551
252349.958985 17.4189137433 45.8772789903 2.05681347408 1.43690998044e-06
252364.792969 17.4583150234 45.973550376 2.06118788141 0.000156191018428
252379.623047 17.4350783711 45.9127757024 2.05822015627 8.95026912206e-05
252394.460938 17.5007471711 45.9396671509 2.05256631664 0.00116783522602
252409.654297 17.4926648573 45.8568414895 2.04555726881 0.00152338554925
252425.580079 17.5674262605 45.9095487286 2.04125829131 0.00261575685527
252440.40625 17.4502327095 45.8858842539 2.05370842591 0.000541567148917
252455.248047 17.4562944449 45.8740520165 2.05179956978 0.000728996855352
252470.066406 17.4613458911 45.8019829345 2.04418263353 0.00126708569588
252484.90039 17.4492224203 45.8525388577 2.05060475824 0.000727177351421
252499.732422 17.4542738665 45.6772066133 2.03298994473 0.00189885410301
252515.421875 17.421944611 45.7831589205 2.04731490218 0.000636610320009
252531.109375 17.482561965 45.7352921421 2.03505543687 0.00207812852173
252545.939453 17.4936751465 45.8606062923 2.04579492332 0.00151940338898
252560.740234 17.4300269249 45.6734418105 2.03567501129 0.0014628630773
252575.546875 17.5068089065 45.7390569449 2.03236983449 0.00251420900916
252590.363282 17.4027491156 45.7449730636 2.04603084181 0.00050755895973
252605.197266 17.4310372141 45.6675256919 2.03497526923 0.0015182832287
252620.029297 17.395677091 45.7503513533 2.04744093322 0.000340677001748
252634.880859 17.3916359341 45.6992576011 2.04300196841 0.000577688067612
252649.703125 17.425985768 45.6503151648 2.03394464297 0.00152821783944
252664.535156 17.4552841557 45.7616457617 2.04103844309 0.00139987833906
252679.365235 17.395677091 45.7422839187 2.04665973399 0.000390183470812
252694.203125 17.4573047342 45.737443458 2.0384406714 0.00158665926777
252709.044922 17.4593253126 45.737981287 2.03823860716 0.00162161864644
252723.894531 17.3845639094 45.7546539851 2.04925498768 0.000103901575334
252738.740235 17.4552841557 45.7239977338 2.03739290375 0.00163090491256
252753.564453 17.4370989495 45.7315273393 2.04040913196 0.00124038215628
252768.392579 17.5078191958 45.7229220758 2.03068044741 0.00263234871985
252783.228516 17.4775105188 45.7503513533 2.03714906291 0.00189006042857
252798.052735 17.3926462233 45.6954927983 2.04251045095 0.000619910837324
252812.876953 17.4370989495 45.6949549693 2.03686821984 0.00146477825233
252827.701172 17.3673889925 45.6546177966 2.04172942651 0.00039256633342
252842.539062 17.3582963894 45.7261490496 2.04979753163 -0.000218384406178
252857.363282 17.3492037863 45.629339835 2.0415691828 0.000203413835466
252872.197266 17.5068089065 45.6309533219 2.02190463744 0.00317741365213
252887.027343 17.4451812634 45.5847000304 2.02518041867 0.00229407253449
252903.669922 17.3663787033 45.6944171404 2.04570912915 0.000129290011982
252918.501953 17.4189137433 45.774553657 2.04686265749 0.000632044029272
252933.332032 17.369409571 45.8089747111 2.05642134917 -0.000516349882148
252948.162109 17.4552841557 45.865446753 2.05109289967 0.000762703305065
252963.962891 17.5300455589 45.88265728 2.04335586691 0.00207283060468
252980.505859 17.4845825434 45.9143891893 2.0521499921 0.00101696185332
252996.095703 17.465387048 45.9767773499 2.06061117144 0.000270278891888
253011.283203 17.3835536202 45.9880717583 2.07199738224 -0.00134841230028
253027.126953 17.4855928327 46.0553003796 2.06568244192 0.000170456264268
253042.365235 17.421944611 46.1316720934 2.0810946418 -0.00150409281705
253058.447266 17.4987265927 46.1515717653 2.07336753564 -0.000172545653959
253073.269532 17.4845825434 46.1246803167 2.07253819328 -0.000275087366658
253088.103516 17.395677091 46.1994385436 2.09097225423 -0.00241800724183
253102.933593 17.4562944449 46.228481308 2.08616718576 -0.00144896141743
253117.753906 17.548230765 46.1359747251 2.06562642835 0.000860942504017
253132.591797 17.5381278727 46.3150717723 2.08427748035 -0.000431827187516
253147.423829 17.491654568 46.2596753883 2.08474680446 -0.000971227871759
